DiagnosisID,Class,Perspective,DiagnosisName,DSM_Code,ICD11,Prevalence,Prevalence2,PrevalenceNotes
1,1,D,Intellectual Disability,"317,318.0,318.1,318.2",F70-F73,0.01,0.0006,Defined by 2 standard deviations below mean; severity by adaptation
2,1,D,Language Disorder,315.39,F80.9,NA,NA,
3,1,D,Speech Sound Disorder,315.39,F80.0,NA,NA,
4,1,D,Childhood-Onset Fluency Disorder,315.35,F80.81,NA,NA,
5,1,D,Social (Pragmatic) Communication Disorder,315.39,F80.89,NA,NA,
6,1,C,Autism Spectrum Disorder,299,F84.0,0.01,NA,"""Approaches 1%"""
7,1,D,Attention-Deficit/Hyperactivity Disorder,"314.x (00,01)","F90.x (0,1,2)",0.025,0.05,Prevalance 2 is in children.
8,1,D,Specific Learning Disorder,"315.x (00,2,1)","F81.x (0,81,2)",NA,0.04,Childhood prevalence in prevalence2
9,1,D,Developmental Coordination Disorder,315.4,F82,NA,0.055,Childhood prevalence in prevalence2
10,1,D,Stereotypic Movement Disorder,307.3,F98.4,NA,0.035,Childhood prevalences in prevalence2; higher with severe intellectual disability
11,1,,Tic Disorders,"307.x (21,22,23)","F95.x (0,1,2)",0.003,0.008,Childhood prevalence in prevalence2
12,2,,Delusional Disorder,297.1,F22,0.002,NA,lifetime prevalence was cited
13,2,,Brief Psychotic Disorder,298.8,F23,NA,0.09,Cited as 9% of first episode psychosis presentations
14,2,,Schizophreniform Disorder,295.4,F20.81,NA,NA,"1/5 the rate of schizophrenia,  or higher or identical to schizophrenia"
15,2,,Schizophrenia,295.9,F20.9,0.005,NA,0.3-0.7%
16,2,,Schizoaffective Disorder,295.7,"F25.x (0,1)",0.003,NA,Claims 1/3 the rate of schizophrenia
17,2,,Substance-Induced Psychotic Disorder,291.9 or 292.9,various F10-F19,NA,NA,7% - 25% of first episode presentations
18,2,,Psychotic Disorder Due to GMC,"293.8x (1,2)","F06.x (0,2)",0.0021,0.0054,Estimate in range between 0.21% and 0.54%
19,3,,Bipolar I Disorder,296.x,F31.x,0.006,NA,12-month prevalence
20,3,,Bipolar II Disorder,296.89,F31.81,0.003,0.008,"12-month prevalence, prevalence2 is USA, other is international"
21,3,,Cyclothymic Disorder,301.13,F34.0,0.007,NA,Range reported as 0.4 to 1%
22,3,,Substance-Induced Bipolar and Related Disorder,291.89 or 292.84,F1x.x,NA,NA,No epidemiological studies
23,3,,Bipolar and Related Disorder Due to GMC,293.83,"F06.x (33,34)",NA,NA,No epidemiological studies; HIV mania is critical to consider
24,4,,Disruptive Mood Dysregulation Disorder,296.99,F34.8,NA,NA,No epidemiological studies
25,4,,Major Depressive Disorder,296.x (various),F32.x (various),0.07,NA,"US 12-month prevalence, differs by age & gender"
26,4,,Persistent Depressive Disorder,300.4,F34.1,0.02,NA,12 month prevalence
27,4,,Premenstrual Dysphoric Disorder,625.4,N94.3,0,0.013,12 month prevalence between 1.8 to 5.8% of menstruating women
28,4,,Substance-Induced Depressive Disorder,291.89 OR 292.84,F1x.x,0.0026,NA,lifetime prevalence was cited
29,4,,Depressive Disorder Due to GMC,293.83,"F06.x (31,32,34)",NA,NA,
30,5,,Separation Anxiety Disorder,309.21,F93.0,0.014,NA,12 month prevalence
31,5,,Selective Mutism,312.23,F94.0,0.003,NA,Unknown source
32,5,,Specific Phobia,300.29,F40.x (various),0.08,NA,12 month range 7-9%
33,5,,Social Anxiety Disorder,300.23,F40.10,0.07,0.023,Prevalence2 is European
34,5,,Panic Disorder,300.01,F41.0,0.025,NA,12 month prevalence between 2 to 3%
35,5,,Panic Attack Specifier,NA,NA,0.112,NA,12-month prevalence for panic attacks in USA
36,5,,Agoraphobia,300.22,F40.00,0.017,NA,
37,5,,Generalized Anxiety Disorder,300.02,F41.1,0.029,0.09,"12-month prevalence in USA, prevalence2 is lifetime"
38,5,,Substance-Induced Anxiety Disorder,291.89 or 292.89,F1x.x,0.00002,NA,12-month estimate of prevalence
39,5,,Anxiety Disorder Due to GMC,293.84,F06.4,NA,NA,
40,6,,Obsessive-Compulsion Disorder,300.3,F42,0.012,NA,12 month prevalence
41,6,,Body Dysmorphic Disorder,300.7,F45.22,0.024,0.022,Prevalence2 is for males
